aaa1,"Aardewerk enz. Pos.A, M"
o2st,Overige bedrijven; vest.
o2te,Overige bedrijven; vest. met 201-500 pers.
o2tw,Overige bedrijven; vest. met 2-5 pers.
o2ze,Overige bedrijven; vest. met 6-10 pers.
o2zo,Overige bedrijven; vest. zonder krachtwerktuigen
opkm,Overige bedrijven; aantal pk van elektromotoren
opkp,Overige bedrijven; aant pk van prim krachtw excl. el.motoren
owep,Overige bedrijven; werkzame personen
owev,Overige bedrijven; werkzame vrouwen
p1et,Papier; in vest. 51-200 pers.
p1ev,Papier; in vest. 11-50 pers.
p1mv,Papier; in vest. >500 pers.
p1th,Papier; in vest. 201-500 pers.
p1tv,Papier; in vest. 2-5 pers.
p1zk,Papier; in vest. zonder krachtwerktuigen
p1zt,Papier; in vest. 6-10 pers.
p2ee,Papier; vestigingen met 51-200 personen
p2el,Papier; vest. met 11-50 pers.
p2me,Papier; vestigingen met >500 personen
p2ne,Papier; vest. met 0-1 pers.
p2st,Papier; vest.
p2te,Papier; vestigingen met 201-500 personen
p2tw,Papier; vest. met 2-5 pers.
p2ze,Papier; vestigingen met 6-10 personen
p2zo,Papier; vestigingen zonder krachtwerktuigen
ppkm,Papier; aantal pk van elektromotoren
ppkp,Papier; aant pk van primaire krachtw excl. elektromotoren
pwep,Papier; werkzame personen
pwev,Papier; werkzame vrouwen
q1et,Textielnijverheid; in vest. 51-200 personen
q1ev,Textielnijverheid; in vest. 11-50 personen
q1mv,Textielnijverheid; in vest. >500 personen
q1th,Textielnijverheid; in vest. 201-500 personen
q1tv,Textielnijverheid; in vest. 2-5 personen
q1zk,Textielnijverheid; in vest. zonder krachtwerktuigen
q1zt,Textielnijverheid; in vest. 6-10 personen
q2ee,Textielnijverheid; vestigingen met 51-200 personen
q2el,Textielnijverheid; vestigingen met 11-50 personen
q2me,Textielnijverheid; vestigingen met >500 personen
q2ne,Textielnijverheid; vestigingen met 0-1 personen
q2st,Textielnijverheid; vestigingen
q2te,Textielnijverheid; vestigingen met 201-500 personen
q2tw,Textielnijverheid; vestigingen met 2-5 personen
q2ze,Textielnijverheid; vestigingen met 6-10 personen
q2zo,Textielnijverheid; vestigingen zonder krachtwerktuigen
qpkm,Textielnijverheid; aantal pk van elektromotoren
qpkp,Textielnijverheid; aant pk van prim krachtw excl. el.motoren
qwep,Textielnijverheid; werkzame personen
qwev,Textielnijverheid; werkzame vrouwen
r1et,Verkeer; in vestigingen 51-200 personen
r1ev,Verkeer; in vest. 11-50 personen
r1mv,Verkeer; in vestigingen >500 personen
r1th,Verkeer; in vestigingen 201-500 personen
r1tv,Verkeer; in vestigingen 2-5 personen
r1zk,Verkeer; in vestigingen zonder krachtwerktuigen
r1zt,Verkeer; in vestigingen 6-10 personen
r2ee,Verkeer; vestigingen met 51-200 personen
r2el,Verkeer; vestigingen met 11-50 personen
r2me,Verkeer; vestigingen met >500 personen
r2ne,Verkeer; vestigingen met 0-1 personen
r2st,Verkeer; vestigingen
r2te,Verkeer; vestigingen met 201-500 personen
r2tw,Verkeer; vestigingen met 2-5 personen
r2ze,Verkeer; vestigingen met 6-10 personen
r2zo,Verkeer; vestigingen zonder krachtwerktuigen
rpkm,Verkeer; aantal pk van elektromotoren
rpkp,Verkeer; aant pk van primaire krachtw excl. elektromotoren
rwep,Verkeer; werkzame personen
rwev,Verkeer; werkzame vrouwen
s1et,Verzekeringswezen; in vestigingen 51-200 personen
s1ev,Verzekeringswezen; in vestigingen 11-50 personen
s1mv,Verzekeringswezen; in vestigingen >500 personen
s1th,Verzekeringswezen; in vestigingen 201-500 personen
s1tv,Verzekeringswezen; in vestigingen 2-5 personen
s1zk,Verzekeringswezen; in vestigingen zonder krachtwerktuigen
s1zt,Verzekeringswezen; in vestigingen 6-10 personen
s2ee,Verzekeringswezen; vestigingen met 51-200 personen
s2el,Verzekeringswezen; vestigingen met 11-50 personen
s2me,Verzekeringswezen; vestigingen met >500 personen
s2ne,Verzekeringswezen; vestigingen met 0-1 personen
s2st,Verzekeringswezen; vestigingen
s2te,Verzekeringswezen; vestigingen met 201-500 personen
s2tw,Verzekeringswezen; vestigingen met 2-5 personen
s2ze,Verzekeringswezen; vestigingen met 6-10 personen
s2zo,Verzekeringswezen; vestigingen zonder krachtwerktuigen
spkm,Verzekeringswezen; aantal pk van elektromotoren
spkp,Verzekeringswezen; aant pk van prim krachtw excl. el.motoren
swep,Verzekeringswezen; werkzame personen
swev,Verzekeringswezen; werkzame vrouwen
t1et,Visserij en Jacht; in vestigingen 51-200 personen
t1ev,Visserij en Jacht; in vestigingen 11-50 personen
t1mv,Visserij en Jacht; in vestigingen >500 personen
t1th,Visserij en Jacht; in vestigingen 201-500 personen
t1tv,Visserij en Jacht; in vestigingen 2-5 personen
t1zk,Visserij en Jacht; in vestigingen zonder krachtwerktuigen
t1zt,Visserij en Jacht; in vestigingen 6-10 personen
t2ee,Visserij en Jacht; vestigingen met 51-200 personen
t2el,Visserij en Jacht; vestigingen met 11-50 personen
t2me,Visserij en Jacht; vestigingen met >500 personen
t2ne,Visserij en Jacht; vestigingen met 0-1 personen
t2st,Visserij en Jacht; vestigingen
t2te,Visserij en Jacht; vestigingen met 201-500 personen
t2tw,Visserij en Jacht; vestigingen met 2-5 personen
t2ze,Visserij en Jacht; vestigingen met 6-10 personen
t2zo,Visserij en Jacht; vestigingen zonder krachtwerktuigen
tpkm,Visserij en Jacht; aantal pk van elektromotoren
tpkp,Visserij en Jacht; aant pk van prim krachtw excl. el.motoren
twep,Visserij en Jacht; werkzame personen
twev,Visserij en Jacht; werkzame vrouwen
u1et,Voedings- en Genotmiddelen; in vest. 51-200 personen
u1ev,Voedings- en Genotmiddelen; in vest. 11-50 personen
u1mv,Voedings- en Genotmiddelen; in vest. >500 personen
u1th,Voedings- en Genotmiddelen; in vest. 201-500 personen
u1tv,Voedings- en Genotmiddelen; in vest. 2-5 personen
u1zk,Voedings- en Genotmiddelen; in vest. zonder krachtwerktuigen
u1zt,Voedings- en Genotmiddelen; in vest. 6-10 personen
u2ee,Voedings- en Genotmiddelen; vest. met 51-200 personen
u2el,Voedings- en Genotmiddelen; vest. met 11-50 personen
u2me,Voedings- en Genotmiddelen; vest.met >500 personen
u2ne,Voedings- en Genotmiddelen; vest. met 0-1 personen
u2st,Voedings- en Genotmiddelen; vestigingen
u2te,Voedings- en Genotmiddelen; vest. met 201-500 personen
u2tw,Voedings- en Genotmiddelen; vest. met 2-5 personen
u2ze,Voedings- en Genotmiddelen; vest. met 6-10 personen
u2zo,Voedings- en Genotmiddelen; vest. zonder krachtwerktuigen
upkm,Voedings- en Genotmiddelen; aantal pk van elektromotoren
upkp,Voedings- en Genotmidd.; aant pk van prim kw excl el.motoren
uwep,Voedings- en Genotmiddelen; werkzame personen
uwev,Voedings- en Genotmiddelen; werkzame vrouwen
doo3,Doopsgezinden
eva3,Evangelisch Luthers
isr3,Israelieten
nhv3,Nederlands Hervormden
okg3,Overige kerkelijke gezindten
ouk3,Oud Katholieken
rem3,Remonstranten
rka3,Rooms Katholieken
kat3,Katholieken
ang1,Anglikaans Episcopalen M
ang2,Anglikaans Episcopalen V
cha2,Christelijk Afgescheidenen V
doo1,Doopsgezinden M
doo2,Doopsgezinden V
eng1,Engelse Presbyterianen M
eng2,Engelse Presbyterianen V
eva1,Evangelisch Luthers M
eva2,Evangelisch Luthers V
gri1,Grieken M
gri2,Grieken V
heh1,Hernhutters M
heh2,Hernhutters V
hse1,Hersteld Evangelisch Luthersen M
hse2,Hersteld Evangelisch Luthersen V
nhv1,Nederlands Hervormden M
nhv2,Nederlands Hervormden V
nis1,Nederlands Israelieten M
nis2,Nederlands Israelieten V
ogk1,Onbekend of geen kerkelijke gezindte M
ogk2,Onbekend of geen kerkelijke gezindte V
ouk1,Oud Katholieken M
ouk2,Oud Katholieken V
poi1,Portugees Israelieten M
poi2,Portugees Israelieten V
rem1,Remonstranten M
rem2,Remonstranten V
rka1,Rooms Katholieken M
rka2,Rooms Katholieken V
sch1,Schotse Gemeente M
sch2,Schotse Gemeente V
waa2,Waals Hervormden V
chg1,Christelijk Gereformeerden M
chg2,Christelijk Gereformeerden V
gkg1,Geen kerkelijke gezindte M
gkg2,Geen kerkelijke gezindte V
oog1,"Overig, onbekend of geen kerkelijke gezindte M"
oog2,"Overig, onbekend of geen kerkelijke gezindte V"
chg3,Christelijk Gereformeerden
gek3,Gereformeerde Kerken
hse3,Hersteld Evangelisch Luthersen
kgo1,Kerkelijke gezindte onbekend M
kgo2,Kerkelijke gezindte onbekend V
nis3,Nederlands Israelieten
poi3,Portugees Israelieten
waa3,Waals Hervormden
gkg3,Geen kerkelijke gezindte
kgo3,Kerkelijke gezindte onbekend
cghp,Confessioneel/Gereformeerd Hervormde predikanten
cohp,Confessioneel Hervormde predikanten
echp,Ethisch/Confessioneel Hervormde predikanten
ethp,Ethisch Hervormde predikanten
gehp,Gereformeerd Hervormde predikanten
gek1,Gereformeerde Kerken M
gek2,Gereformeerde Kerken V
okg1,Overige kerkelijke gezindten M
okg2,Overige kerkelijke gezindten V
ortf,Orthodoxiefaktor ca. 1920
vehp,Vrijzinnig/Ethisch Hervormde predikanten
vrhp,Vrijzinnig Hervormde predikanten
bap1,Baptisten M
bap2,Baptisten V
geg1,Gereformeerde Gemeenten M
geg2,Gereformeerde Gemeenten V
gka1,Gereformeerde Kerken (art. 31) M
gka2,Gereformeerde Kerken (art. 31) V
hae1,Hersteld Apostolische Zendingsgem. i.d. Eenh. d. Apost. M
hae2,Hersteld Apostolische Zendingsgem i.d. Eenh. d. Apost. V
haz1,Hersteld Apostolische Zendingsgem. in Nederland M
haz2,<none>
isr1,Israelieten M
isr2,Israelieten V
ldh1,Leger des Heils M
ldh2,Leger des Heils V
oug1,Oud Gereformeerden M
oug2,Oud Gereformeerden V
veg1,Vrije Evangelische Gemeente M
veg2,Vrije Evangelische Gemeente V
eohp,Ethisch en overige predikanten
get3,20-29 jaar Gereformeerden
glv3,50-59 jaar Gereformeerden
het3,20-29 jaar Hervormden
hev3,50-59 jaar Hervormden
hum1,Humanisten M
hum2,Humanisten V
let1,20-29 jaar Mannen
let2,20-29 jaar Vrouwen
lev1,50-59 jaar Mannen
lev2,50-59 jaar Vrouwen
ogf1,Overige Gereformeerden M
ogf2,Overige Gereformeerden V
pro3,Protestanten
rkt3,20-29 jaar Rooms Katholieken
rkv3,50-59 jaar Rooms Katholieken
zkt1,20-29 jaar Mannen zonder kerkelijke gezindte
zkt2,20-29 jaar Vrouwen zonder kerkelijke gezindte
zkv1,50-59 jaar Mannen zonder kerkelijke gezindte
zkv2,50-59 jaar Vrouwen zonder kerkelijke gezindte
bea3,Bevolking 01-01
ach1,Aantal achtjarigen M
ach2,Aantal achtjarigen V
bee3,Bevolking 01-12
elf1,Aantal elfjarigen M
elf2,Aantal elfjarigen V
geh2,Gehuwde Vrouwen
neg1,Aantal negenjarigen M
neg2,Aantal negenjarigen V
tie1,Aantal tienjarigen M
tie2,Aantal tienjarigen V
vij1,Aantal vijfjarigen M
vij2,Aantal vijfjarigen V
zes1,Aantal zesjarigen M
zes2,Aantal zesjarigen V
zev1,Aantal zevenjarigen M
zev2,Aantal zevenjarigen V
sbz3,Sterfte beneden 1 jaar 1860-1874
bev1,Bevolking M 31-12
bev2,Bevolking V 31-12
geb3,Geboorte
ste3,Sterfte
ver1,Vertrek M
ver2,Vertrek V
ves1,Vestiging M
ves2,Vestiging V
gba3,Geboorte-overschot 1881-1885
vsa3,Vestigingsoverschot 1881-1885
sbe3,Sterfte beneden 1 jaar
ztw1,Aantal 6-12 jarigen M
ztw2,Aantal 6-12 jarigen V
gvv2,Aantal gehuwde vrouwen 15-44 jaar
bev3,Bevolking 31-12
gbb3,Geboorte-overschot 1886-1890
vsb3,Vestigingsoverschot 1886-1890
gbc3,Geboorte-overschot 1891-1895
vsc3,Vestigingsoverschot 1891-1895
gbd3,Geboorte-overschot 1896-1900
vsd3,Vestigingsoverschot 1896-1900
gbe3,Geboorte-overschot 1901-1905
vse3,Vestigingsoverschot 1901-1905
gbf3,Geboorte-overschot 1906-1910
vsf3,Vestigingsoverschot 1906-1910
gbg3,Geboorte-overschot 1911-1915
vsg3,Vestigingsoverschot 1911-1915
gbh3,Geboorte-overschot 1916-1920
vsh3,Vestigingsoverschot 1916-1920
gbi3,Geboorte-overschot 1921-1925
vsi3,Vestigingsoverschot 1921-1925
bdh3,Bevolkingsdichtheid
gbj3,Geboorte-overschot 1926-1930
igo3,Aantal inwoners van het grootste bewoonde oord
vsj3,Vestigingsoverschot 1926-1930
ver3,Vertrek
ves3,Vestiging
gbk3,Geboorte-overschot 1931-1935
vsk3,Vestigingsoverschot 1931-1935
gbl3,Geboorte-overschot 1936-1940
vsl3,Vestigingsoverschot 1936-1940
gbm3,Geboorte-overschot 1941-1945
vsm3,Vestigingsoverschot 1941-1945
bec1,Bevolking M 31-05
bec2,Bevolking V 31-05
urgr,Urbanisatiegraad
gbn3,Geboorte-overschot 1946-1950
vsn3,Vestigingsoverschot 1946-1950
bea1,Bevolking M 01-01
bea2,Bevolking V 01-01
gbo3,Geboorte-overschot 1951-1955
vso3,Vestigingsoverschot 1951-1955
aigg,Percentage van bev. altijd in gemeente gewoond
bec3,Bevolking 31-05
bjtw,Percentage van bev. jonger dan 20
btvi,Percentage van bev. tussen 20 - 64
bveo,Percentage van bev. van 65 en ouder
gbp3,Geboorte-overschot 1956-1960
gvin,Percentage van bev. in gemeente gevestigd tussen 1945-1949
gviv,Percentage van bev. in gemeente gevestigd tussen 1950-1954
gviz,Percentage van bev. in gemeente gevestigd tussen 1955-1960
gvvi,Percentage van bev. in gemeente gevestigd voor 1945
vsp3,Vestigingsoverschot 1956-1960
gbq3,Geboorte-overschot 1961-1965
vsq3,Vestigingsoverschot 1961-1965
gbr3,Geboorte-overschot 1966-1970
vsr3,Vestigingsoverschot 1966-1970
alj1,Alleenstaande vrouwen jonger dan 35 jaar
alj3,Alleenstaanden jonger dan 35 jaar
alo3,"Alleenstaanden, 35-64 jaar"
als1,"Alleenstaande mannen, 15-24 jaar"
aut3,Autochtonen
beb1,Bevolking M 28-02
beb2,Bevolking V 28-02
dsv3,"30 jaar of ouder, ter plaatse gevestigd sinds 1965"
fag3,Binnengewestelijke factorscore  Allochtone jonge gezinshh
fmi3,Binnengewestelijke factorscore  Minderheden
gdev,Percentage van bev. in gemeente gevestigd tussen 1930-1945
gezi,Gezinnen
gjd2,Gehuwde vrouwen jonger dan 30 jaar
gjgk,"Gezinnen met echtgenote <45 jr,(nog)kinderloos, <5 jr gehuwd"
gkjz,Gezinnen met uitsluitend kinderen jonger dan 6 jaar
gkov,Gezinnen met uitsluitend kinderen van 15 jaar of ouder
gnvz,Percentage van bev. in gemeente gevestigd na 1964
gogk,"Gezinnen met echtgenote 45 of ouder,geen kinderen meer thuis"
gsz2,"Gescheiden (incl. gescheiden van tafel en bed) <60 jaar, V"
gtv2,"Gehuwde vrouwen, 20-24 jaar"
gvde,Percentage van bev. in gemeente gevestigd voor 1930
gvne,Percentage van bev. in gemeente gevestigd tussen 1955-1959
gvtk,Gezinnen met 4 of meer thuiswonende kinderen
gzev,Percentage van bev. in gemeente gevestigd tussen 1960-1964
havv,"Hoofden van huishoudens* en alleenst., 35-64 jr *def.1960"
hhal,Huishoudens en alleenstaanden
hhou,Huishoudens
lgjd,Levendgeboren kinderen uit gehuwde vrouwen jonger dan 30 jr
man1,Aantal mannen
nghh,Niet-Gezinshuishoudens
ojz2,Niet ongehuwde vrouwen jonger dan 60 jaar
pmvn,Personen met vreemde nationaliteit
tne1,20-39 jaar M
tne2,20-39 jaar V
tvi2,20-24 jaar V
vio1,15 jaar of ouder M
voo1,65 jaar of ouder M
voo2,65 jaar of ouder V
vro2,Aantal vrouwen
vsv1,"65 jaar of ouder M, ter plaatse gevestigd sinds 1965"
vsv2,"65 jaar of ouder V, ter plaatse gevestigd sinds 1965"
vvi1,15-24 jaar M
vwm1,"Met vast werkadres of meldingspunt, afst. <15 min., M"
vwv1,"Met vast werkadres of meldingspunt, afst. 45 min. of meer, M"
wfn1,"Woonforensen M met een werkgem., niet ter plaatse geboren"
wfo1,Woonforensen M
wfo2,Woonforensen V
wfo3,Woonforensen
wfw1,"Woonforensen M met een werkgem., ter plaatse geboren"
wow1,Mannen werkend op woonadres
bef3,Bevolking
bed1,Bevolking M 19-11
bed2,Bevolking V 19-11
bhs3,Bewoners in een bewoond huis of schip
bpg3,Bewoners per huisgezin
txar,"TK, stemmen op de A.R.P."
txch,"TK, stemmen op de C.H.U."
txco,"TK, stemmen op de C.P.H."
txcs,"TK, stemmen op de Christen-Sociale Partij"
txde,"TK, stemmen op de Democratische Partij"
txdp,"TK, stemmen op de C.D.P."
txge,"TK, aantal kiesgerechtigden"
txgs,"TK, aantal geldige stemmen"
txhs,"TK, stemmen op de H.G.S.P."
txlh,"TK, stemmen op de Lib. Groep/Lijst vHouten+VWP+Lijsten Braam"
txnk,"TK, stemmen op de Nieuwe Katholieke Partij"
txok,"TK, stemmen op overige Rooms-Katholieke splinters"
txop,"TK, stemmen op de Onafhankelijke Partij"
txor,"TK, stemmen op overige Rode splinters"
txos,"TK, stemmen op overige splinterpartijen"
txot,"TK, stemmen op overige Protestantse splinterpartijen"
txpb,"TK, stemmen op de Plattelandersbond"
txpc,"TK, stemmen op de Pos. Chr. Nat. Unie (Lijst Van Os/Poot)"
txpd,"TK, stemmen op de Plattelandspartij"
txql,"TK, stemmen op de Lijsten Arts"
txrk,"TK, stemmen op de Rooms-Katholieke Staatspartij"
txsd,"TK, stemmen op de S.D.A.P."
txsg,"TK, stemmen op de S.G.P."
txsp,"TK, stemmen op de Socialistische Partij"
txvd,"TK, stemmen op de Vrijzinnig-Democratische Bond"
txvr,"TK, stemmen op De Vrijheidsbond"
txlp,"TK, stemmen op de Landbouwpartij"
txpn,"TK, stemmen op de Protestantse Volkspartij"
txra,"TK, stemmen op het Revolutionair Arbeiders-Comite"
txrv,"TK, stemmen op de Rooms-Katholieke Volkspartij"
txcu,"TK, stemmen op de C.D.U."
txna,"TK, stemmen op de Nationale Boerenbond"
txrs,"TK, stemmen op de Revolutionair-Socialistische partij"
tpar,"TK, % A.R.P."
tpch,"TK, % C.H.U."
tpco,"TK, % C.P.H."
tpcu,"TK, % C.D.U."
tphg,"TK, % Hervormd Gereformeerde Partij"
tpnb,"TK, % Nationale Boeren-, Tuinders- en Middenstanderspartij"
tpog,"TK, % stemmen op overige partijen"
tprk,"TK, % Rooms-Katholieke Staatspartij"
tprs,"TK, % Revolutionair Socialistische Partij"
tprv,"TK, % Rooms-Katholieke Volkspartij"
tpsd,"TK, % S.D.A.P."
tpsg,"TK, % S.G.P."
tpvd,"TK, % Vrijzinnig Democratische Bond"
tpvn,"TK, % Verbond Nationaal Herstel"
tpvr,"TK, % De Vrijheidsbond"
txbs,"TK, blanco stemmen"
txoo,"TK, aantal overige ongeldige stemmen"
ppar,"PS, % A.R.P."
ppch,"PS, % C.H.U."
ppco,"PS, % C.P.H."
ppcu,"PS, % C.D.U."
pphg,"PS, % Hervormd Gereformeerde Partij"
ppkd,"PS, % Katholieke Democratische Partij"
ppnb,"PS, % Nationale Boeren-, Tuinders- en Middenstanderspartij"
ppns,"PS, % Nationaal Socialistische Beweging"
ppog,"PS, % stemmen op overige partijen"
pprk,"PS, % Rooms-Katholieke Staatspartij"
pprs,"PS, % Revolutionair Socialistische Partij"
ppsd,"PS, % S.D.A.P."
ppsg,"PS, % S.G.P."
ppvd,"PS, % Vrijzinnig Democratische Bond"
ppvr,"PS, % De Vrijheidsbond"
txas,"TK, aantal stemmen"
txcp,"TK, stemmen op de C.P.N."
txgp,"TK, stemmen op het G.P.V."
txgv,"TK, aantal kiesgerechtigden, waarvan met volmacht"
txkv,"TK, stemmen op de K.V.P."
txno,"TK, stemmen op de Nationale Oppositie Unie"
txnu,"TK, stemmen op de Nationale Unie (Algemeen Christelijk)"
txpv,"TK, stemmen op de P.v.d.A."
txvv,"TK, stemmen op de V.V.D."
txbg,"TK, stemmen op de Bruggroep (Diss. Comm., Lijst Wagenaar)"
txbp,"TK, stemmen op de Boeren-Partij"
txpm,"TK, stemmen op de Partij voor Landbouw en Middenstand"
txps,"TK, stemmen op de P.S.P."
txcn,"TK, stemmen op de C.N.V.P."
txls,"TK, stemmen op de Liberale Staatspartij"
txlu,"TK, stemmen op de Liberale Unie/""Veilig Verkeer"""
txnd,"TK, stemmen op de Nieuw-Democratische Partij"
txpe,"TK, stemmen op de Partij Economisch Appel"
txqa,"TK, stemmen op de Lijst Grol"
txvo,"TK, stemmen op het Volksreferendum"
txci,"TK, stemmen op de Christen-Democraten Unie"
txdz,"TK, stemmen op D66"
txla,"TK, stemmen op Landsbelangen"
txlv,"TK, stemmen op de Liberale Volkspartij"
txnn,"TK, stemmen op de Noodraad"
txpo,"TK, stemmen op de Partij voor Ongehuwden"
txpr,"TK, stemmen op de Partij van het Recht"
txqc,"TK, stemmen op de Lijst van Breukelen-Grein"
txqe,"TK, stemmen op de Lijst Voogd"
txqg,"TK, stemmen op de Lijst-Germeaux"
txqj,"TK, stemmen op de Lijst-Machiela"
txqk,"TK, stemmen op de Lijst-Rodermond"
txab,"TK, stemmen op de Algemene Bejaarden Partij Nederland"
txam,"TK, aantal stemmen,waarvan met kiezers- of volmachtleg.kaart"
txba,"TK, stemmen op de Bejaarden en Arbeidspartij"
txbb,"TK, stemmen op de Bejaarden Partij Algemeen Belang"
txbr,"TK, stemmen op Binding Rechts"
txbv,"TK, stemmen op de Bejaardenpartij 65+"
txds,"TK, stemmen op DS70"
txdt,"TK, stemmen op de Democraten 2000"
txka,"TK, stemmen op de Kabouters"
txkl,"TK, aantal kiesgerechtigden, waarvan met legitimatie"
txkm,"TK, aantal kiesgerechtigden, waarvan met volmacht"
txlb,"TK, stemmen op de Landelijke Partij van Bejaarden"
txnl,"TK, stemmen op het Nederlands Appel"
txnm,"TK, stemmen op de Nederlandse Middenstands Partij"
txnr,"TK, stemmen op de Nieuwe Roomse Partij"
txpf,"TK, stemmen op de Positief Sociaal Democraten"
txpp,"TK, stemmen op de P.P.R."
txqd,"TK, stemmen op de Lijst van Velzen"
txst,"TK, stemmen op de Stichting Gedupeerde Groepen 18+ t/m 65+"
txav,"TK, stemmen op de AR85"
txcd,"TK, stemmen op het C.D.A."
txce,"TK, stemmen op de Centrumpartij"
txcm,"TK, stemmen op de Centrumdemocraten"
txev,"TK, stemmen op de E.V.P."
txfg,"TK, stemmen op de Federatieve Groenen"
txgm,"TK, stemmen op God Met Ons"
txhu,"TK, stemmen op de Humanistische Partij"
txlo,"TK, stemmen op Loesje"
txmv,"TK, aantal kiesger., met kiezers- of volmachtleg.kaart"
txon,"TK, aantal ongeldige stemmen"
txpg,"TK, stemmen op de Partij voor de Middengroepen"
txpk,"TK, stemmen op de Partij van Communisten in Nederland"
txpq,"TK, stemmen op de Partij Geluk voor Iedereen"
txpx,"TK, stemmen op de Partij voor Ambtenaren en Trendvolgers"
txpy,"TK, stemmen op de Partij Algemeen Belang"
txqm,"TK, stemmen op de Lijst Brummer"
txqn,"TK, stemmen op de Lijst Wissink"
txrp,"TK, stemmen op de R.P.F."
txsa,"TK, stemmen op de Socialistische Arbeiderspartij"
txwb,"TK, kiezers woonachtig buiten Nederland"
txwi,"TK, kiezers wonend in gemeente"
gxge,Aantal kiesgerechtigden voor de Gemeenteraad
txns,"TK, stemmen op de Nationaal Socialistische Beweging"
txov,"TK, stemmen op overige partijen en groepen zonder zetel"
txoz,"TK, aant.ov. partijen/groepen die geen zetel hebben gekregen"
txph,"TK, stemmen op de Partij van de Vrijheid"
txdo,"TK, deelnemende overige partijen en groepen"
txog,"TK, stemmen op overige partijen en groepen"
txqf,"TK, stemmen op de Lijst Welter"
txjc,"TK, stemmen op het Jong Conservatief Verbond"
txkn,"TK, stemmen op de Katholieke Nationale Partij"
txmp,"TK, stemmen op de Middenstands Partij"
txpw,"TK, stemmen op de Partij voor Recht, Vrijheid en Welvaart"
txsu,"TK, stemmen op de Socialistische Unie"
gxgs,Aantal geldige stemmen Gemeenteraadsverkiezingen
tear,"TK, stemmen op de nr.1 van de A.R.P."
teaw,"TK, stemmen op de nr.1 van de Anti-Woningnood Aktie"
tebp,"TK, stemmen op de nr.1 van de Boeren-Partij"
tech,"TK, stemmen op de nr.1 van de C.H.U."
tecp,"TK, stemmen op de nr.1 van de C.P.N."
tedm,"TK, stemmen op de nr.1 van de Democratische Middenpartij"
teds,"TK, stemmen op de nr.1 van DS70"
tedz,"TK, stemmen op de nr.1 van D66"
tegp,"TK, stemmen op de nr.1 van het G.P.V."
tekv,"TK, stemmen op de nr.1 van de K.V.P."
tenm,"TK, stemmen op de nr.1 van de Ned. Middenstands Partij"
tenr,"TK, stemmen op de nr.1 van de Nieuwe Roomse Partij"
tepp,"TK, stemmen op de nr.1 van de P.P.R."
tepr,"TK, stemmen op de nr.1 van de Partij van het Recht"
teps,"TK, stemmen op de nr.1 van de P.S.P."
tepv,"TK, stemmen op de nr.1 van de P.v.d.A."
teqb,"TK, stemmen op de nr.1 van de Lijst ir. W. Stam"
tern,"TK, stemmen op de nr.1 van de R.K.P.N."
tesg,"TK, stemmen op de nr.1 van de S.G.P."
tevv,"TK, stemmen op de nr.1 van de V.V.D."
txaw,"TK, stemmen op de Anti-Woningnood Aktie"
txdm,"TK, stemmen op de Democratische Middenpartij"
txmk,"TK, aantal kiesgerechtigden, met kiezerslegitimatiekaart"
txqb,"TK, stemmen op de Lijst ir. W. Stam"
txrn,"TK, stemmen op de R.K.P.N."
tecd,"TK, stemmen op de nr.1 van het C.D.A."
teda,"TK, stemmen op de nr.1 van het Democratisch Actie Centrum"
teec,"TK, stemmen op de nr.1 van de Europese Conservatieve Unie"
tefb,"TK, stemmen op de nr.1 van de Fed. Bejaardenpartijen Ned."
teke,"TK, stemmen op de nr.1 van de K.E.N."
tenv,"TK, stemmen op de nr.1 van de Nederlandse Volks-Unie"
tepa,"TK, stemmen op de nr.1 van de Partij v.d. Belastingbetalers"
teqh,"TK, stemmen op de nr.1 van de Lijst-Griek"
teqi,"TK, stemmen op de nr.1 van de Lijst-JUSIA"
terp,"TK, stemmen op de nr.1 van de R.P.F."
tesp,"TK, stemmen op de nr.1 van de Socialistische Partij"
tevt,"TK, stemmen op de nr.1 van het Verbond tegen Ambt. Willekeur"
txda,"TK, stemmen op het Democratisch Actie Centrum"
txec,"TK, stemmen op de Europese Conservatieve Unie"
txfb,"TK, stemmen op de Federatie Bejaardenpartijen Nederland"
txke,"TK, stemmen op de K.E.N."
txnv,"TK, stemmen op de Nederlandse Volks-Unie"
txpa,"TK, stemmen op de Partij van de Belastingbetalers"
txqh,"TK, stemmen op de Lijst-Griek"
txqi,"TK, stemmen op de Lijst-JUSIA"
txvt,"TK, stemmen op het Verbond tegen Ambtelijke Willekeur"
tece,"TK, stemmen op de nr.1 van de Centrumpartij"
teev,"TK, stemmen op de nr.1 van de E.V.P."
tegm,"TK, stemmen op de nr.1 van God Met Ons"
teik,"TK, stemmen op de nr.1 van de Internationale Kommunistenbond"
tekp,"TK, stemmen op de nr.1 van de Kleine Partij"
tene,"TK, stemmen op de nr.1 van de Nederlandse Evolutie Partij"
tepi,"TK, stemmen op de nr.1 van de Partij van Rijksgenoten"
tepl,"TK, stemmen op de nr.1 van de Partij Leefbaar Nederland"
tept,"TK, stemmen op de nr.1 van de Partij tot likwidatie van Ned."
tere,"TK, stemmen op de nr.1 van de Realisten 81"
tero,"TK, stemmen op de nr.1 van de Rechtse-Volkspartij"
teso,"TK, stemmen op de nr.1 van Samen Overleven of Sterven"
tevp,"TK, stemmen op de nr.1 van de Vrede Partij"
